indicator_id,source_code,country_iso3,year,value,plot
151,WB_WDI_SE_PRE_ENRR,LTU,2013,82.054321,GER
151,WB_WDI_SE_PRE_ENRR,ISL,2006,98.067123,GER
151,WB_WDI_SE_PRE_ENRR,IDN,2006,34.666351,GER
151,WB_WDI_SE_PRE_ENRR,IRN,2006,50.051399,GER
151,WB_WDI_SE_PRE_ENRR,ISR,2006,93.025589,GER
151,WB_WDI_SE_PRE_ENRR,ITA,2006,102.164948,GER
151,WB_WDI_SE_PRE_ENRR,JOR,2006,31.17277,GER
151,WB_WDI_SE_PRE_ENRR,KGZ,2009,18.43779,GER
151,WB_WDI_SE_PRE_ENRR,LAO,2009,17.904169,GER
151,WB_WDI_SE_PRE_ENRR,LVA,2009,87.452118,GER
151,WB_WDI_SE_PRE_ENRR,LIE,2009,98.34938,GER
151,WB_WDI_SE_PRE_ENRR,LTU,2009,79.431648,GER
151,WB_WDI_SE_PRE_ENRR,MAR,2012,54.769131,GER
151,WB_WDI_SE_PRE_ENRR,NAM,2012,16.426109,GER
151,WB_WDI_SE_PRE_ENRR,NRU,2012,79.503922,GER
151,WB_WDI_SE_PRE_ENRR,NPL,2012,87.67585,GER
151,WB_WDI_SE_PRE_ENRR,NLD,2012,90.46785,GER
151,WB_WDI_SE_PRE_ENRR,NZL,2012,104.262108,GER
151,WB_WDI_SE_PRE_ENRR,NIC,2012,60.920799,GER
151,WB_WDI_SE_PRE_ENRR,NER,2012,5.97154,GER
151,WB_WDI_SE_PRE_ENRR,TUR,2006,13.78683,GER
151,WB_WDI_SE_PRE_ENRR,TUV,2006,99.02507,GER
151,WB_WDI_SE_PRE_ENRR,UKR,2006,87.197807,GER
151,WB_WDI_SE_PRE_ENRR,ARE,2006,80.322868,GER
151,WB_WDI_SE_PRE_ENRR,GBR,2006,71.955292,GER
151,WB_WDI_SE_PRE_ENRR,URY,2006,95.21479,GER
151,WB_WDI_SE_PRE_ENRR,UZB,2006,26.943319,GER
151,WB_WDI_SE_PRE_ENRR,VUT,2006,118.690071,GER
151,WB_WDI_SE_PRE_ENRR,CMR,2009,23.842569,GER
151,WB_WDI_SE_PRE_ENRR,CAF,2009,4.16633,GER
151,WB_WDI_SE_PRE_ENRR,CHL,2009,86.41861,GER
151,WB_WDI_SE_PRE_ENRR,CHN,2009,50.151581,GER
151,WB_WDI_SE_PRE_ENRR,COD,2009,4.01535,GER
151,WB_WDI_SE_PRE_ENRR,MAC,2009,84.760399,GER
151,WB_WDI_SE_PRE_ENRR,MDG,2009,9.49393,GER
151,WB_WDI_SE_PRE_ENRR,MYS,2009,76.90992,GER
151,WB_WDI_SE_PRE_ENRR,MLI,2009,3.18495,GER
151,WB_WDI_SE_PRE_ENRR,MLT,2009,106.63588,GER
151,WB_WDI_SE_PRE_ENRR,MHL,2009,46.67688,GER
151,WB_WDI_SE_PRE_ENRR,MUS,2009,99.10466,GER
151,WB_WDI_SE_PRE_ENRR,BGD,2016,35.515053,GER
151,WB_WDI_SE_PRE_ENRR,BRB,2016,88.446648,GER
151,WB_WDI_SE_PRE_ENRR,BLR,2016,97.765892,GER
151,WB_WDI_SE_PRE_ENRR,BEL,2016,116.095589,GER
151,WB_WDI_SE_PRE_ENRR,BLZ,2016,50.467041,GER
151,WB_WDI_SE_PRE_ENRR,BEN,2016,24.79332,GER
151,WB_WDI_SE_PRE_ENRR,BTN,2016,28.03352,GER
151,WB_WDI_SE_PRE_ENRR,BOL,2016,73.669098,GER
151,WB_WDI_SE_PRE_ENRR,BIH,2016,16.243481,GER
151,WB_WDI_SE_PRE_ENRR,BRB,2006,87.211372,GER
151,WB_WDI_SE_PRE_ENRR,BLR,2006,105.873001,GER
151,WB_WDI_SE_PRE_ENRR,BEL,2006,118.889847,GER
151,WB_WDI_SE_PRE_ENRR,BLZ,2006,31.092489,GER
151,WB_WDI_SE_PRE_ENRR,BEN,2006,6.17604,GER
151,WB_WDI_SE_PRE_ENRR,BMU,2006,52.236839,GER
151,WB_WDI_SE_PRE_ENRR,BOL,2006,51.69915,GER
151,WB_WDI_SE_PRE_ENRR,BWA,2006,16.5446,GER
151,WB_WDI_SE_PRE_ENRR,VGB,2006,88.005386,GER
151,WB_WDI_SE_PRE_ENRR,JOR,2019,28.80942,GER
151,WB_WDI_SE_PRE_ENRR,KAZ,2019,62.482121,GER
151,WB_WDI_SE_PRE_ENRR,KEN,2019,65.143852,GER
151,WB_WDI_SE_PRE_ENRR,KOR,2019,92.244331,GER
151,WB_WDI_SE_PRE_ENRR,KWT,2019,60.200272,GER
151,WB_WDI_SE_PRE_ENRR,KGZ,2019,39.906391,GER
151,WB_WDI_SE_PRE_ENRR,LAO,2019,48.458817,GER
151,WB_WDI_SE_PRE_ENRR,LVA,2019,94.67524,GER
151,WB_WDI_SE_PRE_ENRR,MLI,2012,4.66514,GER
151,WB_WDI_SE_PRE_ENRR,MLT,2012,118.547859,GER
151,WB_WDI_SE_PRE_ENRR,MUS,2012,105.881981,GER
151,WB_WDI_SE_PRE_ENRR,MEX,2012,104.525551,GER
151,WB_WDI_SE_PRE_ENRR,MDA,2012,69.830002,GER
151,WB_WDI_SE_PRE_ENRR,MNG,2012,75.614655,GER
151,WB_WDI_SE_PRE_ENRR,MNE,2012,59.713139,GER
151,WB_WDI_SE_PRE_ENRR,VNM,2001,42.283089,GER
151,WB_WDI_SE_PRE_ENRR,PSE,2001,30.184299,GER
151,WB_WDI_SE_PRE_ENRR,YEM,2001,0.57743,GER
151,WB_WDI_SE_PRE_ENRR,AFE,2002,16.88843,GER
151,WB_WDI_SE_PRE_ENRR,AFW,2002,15.16986,GER
151,WB_WDI_SE_PRE_ENRR,ARB,2002,14.62731,GER
151,WB_WDI_SE_PRE_ENRR,CSS,2002,76.113907,GER
151,WB_WDI_SE_PRE_ENRR,CEB,2002,64.467323,GER
151,WB_WDI_SE_PRE_ENRR,EAR,2002,22.01656,GER
151,WB_WDI_SE_PRE_ENRR,EAS,2002,40.853142,GER
151,WB_WDI_SE_PRE_ENRR,EAP,2002,38.032719,GER
151,WB_WDI_SE_PRE_ENRR,TEA,2002,37.90778,GER
151,WB_WDI_SE_PRE_ENRR,MAC,2017,95.308891,GER
151,WB_WDI_SE_PRE_ENRR,MDG,2017,37.563019,GER
151,WB_WDI_SE_PRE_ENRR,MYS,2017,99.967026,GER
151,WB_WDI_SE_PRE_ENRR,MDV,2017,91.54715,GER
151,WB_WDI_SE_PRE_ENRR,MLI,2017,6.85624,GER
151,WB_WDI_SE_PRE_ENRR,MLT,2017,107.719261,GER
151,WB_WDI_SE_PRE_ENRR,MUS,2017,100.660591,GER
151,WB_WDI_SE_PRE_ENRR,SDN,2018,47.39994,GER
151,WB_WDI_SE_PRE_ENRR,SUR,2018,86.157791,GER
151,WB_WDI_SE_PRE_ENRR,SWE,2018,97.319099,GER
151,WB_WDI_SE_PRE_ENRR,CHE,2018,102.811012,GER
151,WB_WDI_SE_PRE_ENRR,TZA,2018,41.40451,GER
151,WB_WDI_SE_PRE_ENRR,THA,2018,78.823219,GER
151,WB_WDI_SE_PRE_ENRR,TLS,2018,22.766104,GER
151,WB_WDI_SE_PRE_ENRR,TGO,2018,22.830681,GER
151,WB_WDI_SE_PRE_ENRR,TON,2018,45.22472,GER
151,WB_WDI_SE_PRE_ENRR,MAR,2019,54.868011,GER
151,WB_WDI_SE_PRE_ENRR,NAM,2019,35.764221,GER
151,WB_WDI_SE_PRE_ENRR,NRU,2019,34.060612,GER
151,WB_WDI_SE_PRE_ENRR,NLD,2019,89.631683,GER
151,WB_WDI_SE_PRE_ENRR,NZL,2019,91.658478,GER
151,WB_WDI_SE_PRE_ENRR,NIC,2019,70.01638,GER
151,WB_WDI_SE_PRE_ENRR,NER,2019,7.39225,GER
151,WB_WDI_SE_PRE_ENRR,AFE,2008,18.67771,GER
151,WB_WDI_SE_PRE_ENRR,AFW,2008,21.708611,GER
151,WB_WDI_SE_PRE_ENRR,ARB,2008,19.712919,GER
151,WB_WDI_SE_PRE_ENRR,CSS,2008,81.430473,GER
151,WB_WDI_SE_PRE_ENRR,CEB,2008,74.587967,GER
151,WB_WDI_SE_PRE_ENRR,EAR,2008,36.66328,GER
151,WB_WDI_SE_PRE_ENRR,EAS,2008,49.466282,GER
151,WB_WDI_SE_PRE_ENRR,EAP,2008,47.342602,GER
151,WB_WDI_SE_PRE_ENRR,TEA,2008,47.239208,GER
151,WB_WDI_SE_PRE_ENRR,EMU,2008,99.569908,GER
151,WB_WDI_SE_PRE_ENRR,ECS,2008,69.182716,GER
151,WB_WDI_SE_PRE_ENRR,ECA,2008,48.469219,GER
151,WB_WDI_SE_PRE_ENRR,TEC,2008,50.71302,GER
151,WB_WDI_SE_PRE_ENRR,BRB,2015,90.861031,GER
151,WB_WDI_SE_PRE_ENRR,BLR,2015,100.42556,GER
151,WB_WDI_SE_PRE_ENRR,BEL,2015,117.014229,GER
151,WB_WDI_SE_PRE_ENRR,BLZ,2015,49.916859,GER
151,WB_WDI_SE_PRE_ENRR,BEN,2015,23.92585,GER
151,WB_WDI_SE_PRE_ENRR,BMU,2015,68.75,GER
151,WB_WDI_SE_PRE_ENRR,BTN,2015,22.844076,GER
151,WB_WDI_SE_PRE_ENRR,BOL,2015,70.181549,GER
151,WB_WDI_SE_PRE_ENRR,BIH,2015,15.56137,GER
151,WB_WDI_SE_PRE_ENRR,BWA,2015,21.44787,GER
151,WB_WDI_SE_PRE_ENRR,ETH,2019,34.984428,GER
